         2442696 function calls (2427279 primitive calls) in 1.390 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      177    0.001    0.000    0.010    0.000 text.py:162(update)
       55    0.001    0.000    0.010    0.000 text.py:115(__init__)
   406/17    0.001    0.000    1.048    0.062 {built-in method builtins.__import__}
      529    0.001    0.000    0.001    0.000 transforms.py:1783(__init__)
       24    0.001    0.000    0.003    0.000 bezier.py:240(polynomial_coefficients)
     1819    0.001    0.000    0.001    0.000 {method 'get_name' of 'gi.BaseInfo' objects}
      569    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     1315    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
     1867    0.001    0.000    0.002    0.000 abc.py:96(__instancecheck__)
        1    0.001    0.001    0.001    0.001 transforms.py:1895(Affine2D)
       30    0.001    0.000    0.009    0.000 bezier.py:276(axis_aligned_extrema)
      616    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:147(__enter__)
      324    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
      497    0.001    0.000    0.002    0.000 contextlib.py:238(helper)
      335    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
     2988    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
       84    0.001    0.000    0.001    0.000 __init__.py:132(check_shape)
      795    0.001    0.000    0.001    0.000 functools.py:64(wraps)
       39    0.001    0.000    0.022    0.001 text.py:872(get_window_extent)
      813    0.001    0.000    0.001    0.000 transforms.py:107(__init__)
      730    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
      931    0.001    0.000    0.003    0.000 _asarray.py:14(asarray)
     2988    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      170    0.001    0.000    0.001    0.000 font_manager.py:844(set_stretch)
      233    0.001    0.000    0.001    0.000 enum.py:938(__and__)
     5961    0.001    0.000    0.001    0.000 inspect.py:2551(kind)
      408    0.000    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
       11    0.000    0.000    0.001    0.000 __init__.py:270(new_init)
      681    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
       44    0.000    0.000    0.003    0.000 colors.py:287(to_rgba_array)
      344    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
     1934    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      428    0.000    0.000    0.005    0.000 rcsetup.py:310(validate_color)
      131    0.000    0.000    0.001    0.000 transforms.py:767(__init__)
    12/11    0.000    0.000    0.057    0.005 __init__.py:75(load_overrides)
       48    0.000    0.000    0.001    0.000 function_base.py:2110(_get_ufunc_and_otypes)
      222    0.000    0.000    0.001    0.000 font_manager.py:862(set_size)
    87/73    0.000    0.000    0.002    0.000 transforms.py:2441(get_affine)
       72    0.000    0.000    0.001    0.000 lines.py:1333(set_dash_capstyle)
   225/97    0.000    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
        8    0.000    0.000    0.004    0.001 ticker.py:2052(_raw_ticks)
      410    0.000    0.000    0.004    0.000 pyparsing.py:1417(copy)
      176    0.000    0.000    0.001    0.000 __init__.py:65(check_isinstance)
      163    0.000    0.000    0.001    0.000 _propertyhelper.py:357(install_properties)
       20    0.000    0.000    0.001    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      407    0.000    0.000    0.001    0.000 font_manager.py:968(_json_decode)
     1076    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       16    0.000    0.000    0.003    0.000 {built-in method builtins.eval}
       54    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      274    0.000    0.000    0.002    0.000 function_base.py:451(add_newdoc)
      300    0.000    0.000    0.002    0.000 markers.py:237(_recache)
      217    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       30    0.000    0.000    0.001    0.000 bezier.py:192(__init__)
    135/1    0.000    0.000    0.111    0.111 artist.py:32(draw_wrapper)
       90    0.000    0.000    0.001    0.000 artist.py:1138(update_from)
     1201    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:863(__enter__)
     2779    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      788    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(parent)
        1    0.000    0.000    0.001    0.001 backend_agg.py:87(__init__)
       56    0.000    0.000    0.001    0.000 text.py:275(_get_layout_cache_key)
      233    0.000    0.000    0.017    0.000 sre_compile.py:598(_code)
     1201    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:867(__exit__)
      638    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:376(cached)
       62    0.000    0.000    0.003    0.000 deprecation.py:318(delete_parameter)
      163    0.000    0.000    0.001    0.000 _signalhelper.py:220(install_signals)
       31    0.000    0.000    0.000    0.000 {built-in method builtins.print}
   234/16    0.000    0.000    0.001    0.000 ast.py:373(generic_visit)
       70    0.000    0.000    0.001    0.000 transforms.py:2057(scale)
       76    0.000    0.000    0.014    0.000 font_manager.py:1248(findfont)
      616    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
        4    0.000    0.000    0.048    0.012 axis.py:1040(_update_ticks)
     2447    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      489    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      557    0.000    0.000    0.005    0.000 colors.py:111(is_color_like)
       67    0.000    0.000    0.001    0.000 pyparsing.py:3995(__init__)
       84    0.000    0.000    0.002    0.000 path.py:99(__init__)
      335    0.000    0.000    0.002    0.000 artist.py:81(_stale_axes_callback)
        6    0.000    0.000    0.000    0.000 {built-in method gc.collect}
      303    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
    52/40    0.000    0.000    0.003    0.000 _base.py:765(_unstale_viewLim)
   100/96    0.000    0.000    0.001    0.000 spines.py:330(get_spine_transform)
        8    0.000    0.000    0.001    0.000 ticker.py:714(_compute_offset)
      376    0.000    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        3    0.000    0.000    0.024    0.008 core.py:1(<module>)
      100    0.000    0.000    0.672    0.007 artist.py:104(__init_subclass__)
      163    0.000    0.000    0.002    0.000 types.py:204(__init__)
       25    0.000    0.000    0.000    0.000 {method 'connect' of 'gi._gi.GObject' objects}
        1    0.000    0.000    0.002    0.002 pyplot.py:2025(_setup_pyplot_info_docstrings)
  497/476    0.000    0.000    0.005    0.000 contextlib.py:108(__enter__)
      253    0.000    0.000    0.001    0.000 sre_parse.py:84(opengroup)
      199    0.000    0.000    0.001    0.000 enum.py:75(__setitem__)
       28    0.000    0.000    0.001    0.000 transforms.py:2839(nonsingular)
     1212    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       87    0.000    0.000    0.002    0.000 types.py:339(__init__)
    528/7    0.000    0.000    1.138    0.163 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      250    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
